Event,Date,Status,Approval_Odds
VanEck First Filing,2024-06-01,Filed,10
Grayscale Trust Filing,2025-02-10,Filed,30
Franklin Templeton Filing,2025-01-15,Filed,40
Bitwise Filing,2024-12-15,Filed,45
Fidelity Filing,2025-03-15,Filed,50
CME SOL Futures Launch,2025-02-15,Launched,60
REX Staking ETF Filing,2025-05-20,Filed,70
SEC S-1 Request Deadline,2025-06-15,Completed,80
Franklin Comment Period,2025-07-31,Extended,85
July Decision Window,2025-07-15,Expected,95
Grayscale Final Deadline,2025-10-11,Final Deadline,100
